servidor,caminho,total_requisicoes,numero_threads,sucesso,erros,tempo_total,cpu,latencia_media,rps
nginx,/arquivo_5kb.txt,200,200,200,0,0.2246861457824707,0.0,77.32564926147461,890.1305387722012
nginx,/arquivo_500kb.txt,200,200,0,200,0.13365745544433594,0.0,0,0
nginx,/arquivo_5mb.txt,200,200,200,0,0.47066259384155273,0.0,218.88667464256287,424.9328555464713
apache,/arquivo_5kb.txt,200,200,200,0,0.14742660522460938,0.0,26.4438259601593,1356.607239889254
nginx,/arquivo_5kb.txt,200,200,200,0,0.12868857383728027,0.0,32.74802803993225,1554.1395326432723
nginx,/arquivo_500kb.txt,200,200,0,200,0.12036919593811035,0.0,0,0
nginx,/arquivo_5mb.txt,200,200,200,0,0.49089884757995605,0.0,162.60544180870056,407.4159085643904
apache,/arquivo_5kb.txt,200,200,200,0,0.14556336402893066,0.0,22.37269639968872,1373.9720934193997
apache,/arquivo_500kb.txt,200,200,0,200,0.10611152648925781,0.0,0,0
apache,/arquivo_5mb.txt,200,200,200,0,0.32544779777526855,0.0,103.25785040855408,614.5378809356885
nginx,/arquivo_5kb.txt,200,200,200,0,0.15719819068908691,0.0,35.62888026237488,1272.2792744833066
nginx,/arquivo_500kb.txt,200,200,0,200,0.11963772773742676,0.0,0,0
nginx,/arquivo_5mb.txt,200,200,200,0,0.3171813488006592,0.0,126.91876888275146,630.5541002213695
apache,/arquivo_5kb.txt,200,200,200,0,0.12495136260986328,0.0,20.39616584777832,1600.6228009250426
apache,/arquivo_500kb.txt,200,200,0,200,0.0942378044128418,0.0,0,0
apache,/arquivo_5mb.txt,200,200,200,0,0.286604642868042,0.0,97.16794013977051,697.8254015657508
