timestamp,servidor,cenario,execucao,Falhas,Tempo_Total,Throughput,Requisicões Bem Sucedidas,Tempo_Medio_Resposta
2025-11-14 02:45:28,sequencial,GET - /,1,50,114.63557767868042,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,2,50,114.60627627372742,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,3,50,114.50029420852661,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,4,50,114.66740798950195,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,5,50,114.6172890663147,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,6,50,114.63849091529846,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,7,50,114.69106864929199,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,8,50,114.74733304977417,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,9,50,114.73038101196289,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,10,50,114.80221915245056,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,11,50,114.86149978637695,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,12,50,114.58488750457764,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,13,50,114.6631224155426,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,14,50,114.68410539627075,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,15,50,114.69190096855164,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,16,50,114.59739303588867,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,17,50,114.73521971702576,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,18,50,115.01505398750305,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,19,50,114.70462322235107,0.0,0,0
2025-11-14 02:45:28,sequencial,GET - /,20,50,114.77060103416443,0.0,0,0
